cluster;nbAircraft;uncertainty;clusterId;iterations;rdOff1;rdOff2;InitialConfigurationCost;AlgorithmConfigurationCost;ConfigurationsDistance
cluster_10ac_1err_5;10;1;5;2;2;6;48;2541;4;
cluster_10ac_1err_5;10;1;5;3;2;6;48;2541;4;
cluster_10ac_1err_5;10;1;5;4;2;8;48;61;7;
cluster_10ac_1err_5;10;1;5;1;3;2;48;61;4;
cluster_10ac_1err_5;10;1;5;2;3;5;48;59;13;
cluster_10ac_1err_5;10;1;5;2;4;5;48;2534;8;
cluster_10ac_1err_5;10;1;5;0;5;8;48;74;15;
cluster_10ac_1err_5;10;1;5;1;5;0;48;89;19;
cluster_10ac_1err_5;10;1;5;2;5;0;48;74;17;
cluster_10ac_1err_5;10;1;5;3;5;9;48;64;13;
cluster_10ac_1err_5;10;1;5;4;5;9;48;82;16;
cluster_10ac_1err_5;10;1;5;0;6;8;48;55;5;
cluster_10ac_1err_5;10;1;5;1;6;9;48;58;5;
cluster_10ac_1err_5;10;1;5;2;6;4;48;70;7;
cluster_10ac_1err_5;10;1;5;3;6;1;48;55;5;
cluster_10ac_1err_5;10;1;5;4;6;3;48;70;7;
cluster_10ac_1err_5;10;1;5;0;7;5;48;104;32;
cluster_10ac_1err_5;10;1;5;1;7;6;48;2537;9;
cluster_10ac_1err_5;10;1;5;2;7;1;48;110;22;
cluster_10ac_1err_5;10;1;5;3;7;5;48;117;32;
cluster_10ac_1err_5;10;1;5;4;7;4;48;85;16;
cluster_10ac_1err_5;10;1;5;3;8;7;48;121;21;
cluster_10ac_1err_6;10;1;6;3;0;1;46;90;15;
cluster_10ac_1err_6;10;1;6;0;1;2;46;147;23;
cluster_10ac_1err_6;10;1;6;1;1;3;46;2548;5;
cluster_10ac_1err_6;10;1;6;2;1;9;46;116;18;
cluster_10ac_1err_6;10;1;6;3;1;3;46;2548;5;
cluster_10ac_1err_6;10;1;6;4;1;8;46;2620;19;
cluster_10ac_1err_6;10;1;6;2;2;6;46;139;24;
cluster_10ac_1err_6;10;1;6;3;2;1;46;128;20;
cluster_10ac_1err_6;10;1;6;4;2;1;46;101;19;
cluster_10ac_1err_6;10;1;6;2;3;1;46;2548;5;
cluster_10ac_1err_6;10;1;6;4;3;8;46;2540;11;
cluster_10ac_1err_6;10;1;6;0;4;5;46;79;16;
cluster_10ac_1err_6;10;1;6;1;4;7;46;74;14;
cluster_10ac_1err_6;10;1;6;2;4;9;46;94;17;
cluster_10ac_1err_6;10;1;6;3;4;7;46;76;16;
cluster_10ac_1err_6;10;1;6;4;4;5;46;77;14;
cluster_10ac_1err_6;10;1;6;1;5;4;46;90;19;
cluster_10ac_1err_6;10;1;6;2;5;4;46;118;21;
cluster_10ac_1err_6;10;1;6;3;5;8;46;102;19;
cluster_10ac_1err_6;10;1;6;4;5;6;46;79;15;
