cluster;nbAircraft;uncertainty;clusterId;iterations;default;CP;SA
cluster_10ac_2err_8;10;2;8;3;7500,0;36,0;114,0;
cluster_10ac_2err_8;10;2;8;4;7500,0;36,0;64,0;
cluster_10ac_2err_9;10;2;9;0;17500,0;87,0;166,0;
cluster_10ac_2err_9;10;2;9;1;17500,0;87,0;228,0;
cluster_10ac_2err_9;10;2;9;2;17500,0;87,0;209,0;
cluster_10ac_2err_9;10;2;9;3;17500,0;87,0;165,0;
cluster_10ac_2err_9;10;2;9;4;17500,0;87,0;155,0;
cluster_10ac_3err_0;10;3;0;0;15000,0;99,0;252,0;
cluster_10ac_3err_0;10;3;0;1;15000,0;99,0;227,0;
cluster_10ac_3err_0;10;3;0;2;15000,0;99,0;259,0;
cluster_10ac_3err_0;10;3;0;3;15000,0;99,0;222,0;
cluster_10ac_3err_0;10;3;0;4;15000,0;99,0;155,0;
cluster_10ac_3err_1;10;3;1;0;2500,0;17,0;55,0;
cluster_10ac_3err_1;10;3;1;1;2500,0;17,0;69,0;
cluster_10ac_3err_1;10;3;1;2;2500,0;17,0;40,0;
cluster_10ac_3err_1;10;3;1;3;2500,0;17,0;55,0;
cluster_10ac_3err_1;10;3;1;4;2500,0;17,0;34,0;
cluster_10ac_3err_2;10;3;2;0;12500,0;58,0;137,0;
cluster_10ac_3err_2;10;3;2;1;12500,0;58,0;104,0;
cluster_10ac_3err_2;10;3;2;2;12500,0;58,0;146,0;
cluster_10ac_3err_2;10;3;2;3;12500,0;58,0;129,0;
cluster_10ac_3err_2;10;3;2;4;12500,0;58,0;129,0;
cluster_10ac_3err_3;10;3;3;0;7500,0;51,0;157,0;
cluster_10ac_3err_3;10;3;3;1;7500,0;51,0;124,0;
cluster_10ac_3err_3;10;3;3;2;7500,0;51,0;131,0;
cluster_10ac_3err_3;10;3;3;3;7500,0;51,0;111,0;
cluster_10ac_3err_3;10;3;3;4;7500,0;51,0;124,0;
cluster_10ac_3err_4;10;3;4;0;10000,0;51,0;73,0;
cluster_10ac_3err_4;10;3;4;1;10000,0;51,0;173,0;
cluster_10ac_3err_4;10;3;4;2;10000,0;51,0;152,0;
cluster_10ac_3err_4;10;3;4;3;10000,0;51,0;204,0;
cluster_10ac_3err_4;10;3;4;4;10000,0;51,0;180,0;
cluster_10ac_3err_5;10;3;5;0;7500,0;15,0;31,0;
