cluster;nbAircraft;uncertainty;clusterId;iterations;default;CP;SA
cluster_5ac_1err_4;5;1;4;1;2500,0;8,0;27,0;
cluster_5ac_1err_4;5;1;4;2;2500,0;8,0;13,0;
cluster_5ac_1err_4;5;1;4;3;2500,0;8,0;20,0;
cluster_5ac_1err_4;5;1;4;4;2500,0;8,0;40,0;
cluster_5ac_1err_5;5;1;5;0;2500,0;8,0;27,0;
cluster_5ac_1err_5;5;1;5;1;2500,0;8,0;19,0;
cluster_5ac_1err_5;5;1;5;2;2500,0;8,0;34,0;
cluster_5ac_1err_5;5;1;5;3;2500,0;8,0;22,0;
cluster_5ac_1err_5;5;1;5;4;2500,0;8,0;37,0;
cluster_5ac_1err_9;5;1;9;0;2500,0;8,0;25,0;
cluster_5ac_1err_9;5;1;9;1;2500,0;8,0;31,0;
cluster_5ac_1err_9;5;1;9;2;2500,0;8,0;15,0;
cluster_5ac_1err_9;5;1;9;3;2500,0;8,0;36,0;
cluster_5ac_1err_9;5;1;9;4;2500,0;8,0;17,0;
cluster_5ac_2err_1;5;2;1;0;5000,0;9,0;32,0;
cluster_5ac_2err_1;5;2;1;1;5000,0;9,0;27,0;
cluster_5ac_2err_1;5;2;1;2;5000,0;9,0;24,0;
cluster_5ac_2err_1;5;2;1;3;5000,0;9,0;33,0;
cluster_5ac_2err_1;5;2;1;4;5000,0;9,0;21,0;
cluster_5ac_2err_2;5;2;2;0;2500,0;8,0;13,0;
cluster_5ac_2err_2;5;2;2;1;2500,0;8,0;67,0;
cluster_5ac_2err_2;5;2;2;2;2500,0;8,0;39,0;
cluster_5ac_2err_2;5;2;2;3;2500,0;8,0;19,0;
cluster_5ac_2err_2;5;2;2;4;2500,0;8,0;38,0;
cluster_5ac_2err_3;5;2;3;0;5000,0;17,0;46,0;
cluster_5ac_2err_3;5;2;3;1;5000,0;17,0;24,0;
cluster_5ac_2err_3;5;2;3;2;5000,0;17,0;68,0;
cluster_5ac_2err_3;5;2;3;3;5000,0;17,0;54,0;
cluster_5ac_2err_3;5;2;3;4;5000,0;17,0;31,0;
cluster_5ac_2err_4;5;2;4;0;2500,0;8,0;22,0;
cluster_5ac_2err_4;5;2;4;1;2500,0;8,0;9,0;
cluster_5ac_2err_4;5;2;4;2;2500,0;8,0;29,0;
cluster_5ac_2err_4;5;2;4;3;2500,0;8,0;19,0;
cluster_5ac_2err_4;5;2;4;4;2500,0;8,0;24,0;
cluster_5ac_3err_4;5;3;4;0;2500,0;9,0;11,0;
cluster_5ac_3err_4;5;3;4;1;2500,0;9,0;64,0;
cluster_5ac_3err_4;5;3;4;2;2500,0;9,0;11,0;
cluster_5ac_3err_4;5;3;4;3;2500,0;9,0;22,0;
cluster_5ac_3err_4;5;3;4;4;2500,0;9,0;18,0;
cluster_5ac_3err_6;5;3;6;0;2500,0;12,0;27,0;
cluster_5ac_3err_6;5;3;6;1;2500,0;12,0;30,0;
cluster_5ac_3err_6;5;3;6;2;2500,0;12,0;17,0;
cluster_5ac_3err_6;5;3;6;3;2500,0;12,0;34,0;
cluster_5ac_3err_6;5;3;6;4;2500,0;12,0;21,0;
cluster_5ac_3err_7;5;3;7;0;5000,0;12,0;60,0;
cluster_5ac_3err_7;5;3;7;1;5000,0;12,0;22,0;
cluster_5ac_3err_7;5;3;7;2;5000,0;12,0;29,0;
cluster_5ac_3err_7;5;3;7;3;5000,0;12,0;36,0;
cluster_5ac_3err_7;5;3;7;4;5000,0;12,0;100,0;
cluster_5ac_3err_9;5;3;9;0;2500,0;18,0;35,0;
cluster_5ac_3err_9;5;3;9;1;2500,0;18,0;43,0;
cluster_5ac_3err_9;5;3;9;2;2500,0;18,0;70,0;
cluster_5ac_3err_9;5;3;9;3;2500,0;18,0;31,0;
cluster_5ac_3err_9;5;3;9;4;2500,0;18,0;43,0;
